,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
4683,Alemando novella. Ein guter neuer Dantz (Proportz darauf),,,"['alemando', 'novella', 'guter', 'neuer', 'dantz', '(proportz', 'darauf)']",,"['alemando', 'novella', 'good', 'new', 'dantz', '(proportz', 'it)']"
4684,La volte du roy (La corante du roy),,,"['volte', 'roy', '(la', 'corante', 'roy)']",,"['volte', 'roy', '(la', 'corante', 'roy)']"
4685,Ein gutter neuer Dantz. Du hast much wöllen nemmen (Hopeldantz darauf),,,"['gutter', 'neuer', 'dantz', 'hast', 'much', 'wöllen', 'nemmen', '(hopeldantz', 'darauf)']",,"['good', 'new', 'dantz', 'wanna', 'call', '(hope', 'dantz', 'it)']"
4686,Gelo ha Madonn’il seno,Claudio da Correggio,6,"['gelo', 'madonn’il', 'seno']",,"['gelo', ""madonn'il"", 'breast']"
4687,S’io esca viuo de dubbiosi scogli,Orlando Lasso,6,"['s’io', 'esca', 'viuo', 'dubbiosi', 'scogli']",,"['leave', 'path', 'doubtful', 'rocks']"
4688,Caro dolce mio ben chi mi vi toglie,Gio. Battista Mosto,6,"['caro', 'dolce', 'ben', 'toglie']",,"['dear', 'sweet', 'love', 'takes', 'away']"
4689,Mirate occhi miei laβ’intent’e fisso (seconda parte: L’hora s’appressa che’l mio bel thesoro),Marc’Antonio Ingegneri,6,"['mirate', 'occhi', 'laβ’intent’e', 'fisso', '(seconda', 'parte', 'l’hora', 's’appressa', 'che’l', 'bel', 'thesoro)']",,"['look', 'eyes', ""laβ'intent'e"", 'fissa', '(second', 'part', ""l'hora"", ""s'appressa"", ""che'l"", 'bel', 'thesoro)']"
4690,Se voi sete il mio cor,Gio. Battista Mosto,6,"['sete', 'cor']",,['heart']
4691,Mentre mia stella miri,Claudio da Correggio,6,"['mentre', 'stella', 'miri']",,"['star', 'aims']"
4692,Cinto di ardenti voglie in bianco letto,Vincenzo Bellauer,6,"['cinto', 'ardenti', 'voglie', 'bianco', 'letto']",,"['surrounded', 'ardent', 'desires', 'white', 'bed']"
4693,Io mi son giouinetta e volentieri,Gio. Battista Mosto,6,"['giouinetta', 'volentieri']",,"['young', 'willingly']"
4694,Di neue e fresche rose,Claudio da Correggio,6,"['neue', 'fresche', 'rose']",,"['new', 'fresh', 'roses']"
4695,Di pensier in pensier di mo[n]te in mo[n]te,Orlando Lasso,6,"['pensier', 'pensier', 'mo[n]te', 'mo[n]te']",,"['thought', 'thought', 'mo[n]te', 'mo[n]te']"
4696,La mia spietata forte vuol che m’affliga’e muoia,Claudio da Correggio,6,"['spietata', 'forte', 'vuol', 'm’affliga’e', 'muoia']",,"['ruthless', 'forte', 'wants', 'afflict']"
4697,[Fontana d’eloque[n]za] Honor di tanti homini illustri (secunda parte: Ben possono i Poeti hormai lasciare),Andrea Gabrielli,6,"['[fontana', 'd’eloque[n]za]', 'honor', 'tanti', 'homini', 'illustri', '(secunda', 'parte', 'ben', 'possono', 'poeti', 'hormai', 'lasciare)']",,"['[fountain', 'eloque[n]za]', 'honor', 'many', 'illustrious', 'men', '(second', 'part', 'poets', 'leave', 'well)']"
4698,Qvando dal proprio sito si rimoue,Pietro vinci,6,"['qvando', 'proprio', 'sito', 'rimoue']",,"['leave', 'site', 'remove']"
4699,Mentre la greggia sua pascendo giua (seconda parte: Poscia fra tanto suo dolce gioire,,6,"['mentre', 'greggia', 'pascendo', 'giua', '(seconda', 'parte', 'poscia', 'fra', 'tanto', 'dolce', 'gioire']",,"['flock', 'feeds', '(second', 'part', 'poscia', 'fra', 'tanto', 'dolce', 'gioire']"
4700,terza parte: Occhi voi che mirastegl’occhi suoi,,6,"['terza', 'parte', 'occhi', 'mirastegl’occhi']",,"['third', 'part', 'eyes', 'gaze', 'eyes']"
4701,quarta parte: Dolce bocc’amabil’e soaue onde,,6,"['quarta', 'parte', 'dolce', 'bocc’amabil’e', 'soaue', 'onde']",,"['fourth', 'part', 'dolce', ""bianco'amabile"", 'soares', 'onde']"
4702,quinta parte: Es’abuon fin la sua mercè,,6,"['quinta', 'parte', 'es’abuon', 'fin', 'mercè']",,"['part', 'five', ""es'abuon"", 'fin', 'mercè']"
4703,sesta parte: Cosi le sue speranze rinouando,,6,"['sesta', 'parte', 'cosi', 'speranze', 'rinouando']",,"['sixth', 'part', 'thus', 'hopes', 'renewed']"
4704,setima parte: Vatten piena di gioia),Del Striggio,6,"['setima', 'parte', 'vatten', 'piena', 'gioia)']",,"['part', 'seven', 'vatten', 'full', 'joy)']"
4705,Alla dolce ombra de le belle frondi De l’arbor sacro oue fu acceso il lume (seconda parte: Non uide alcun mai si leggiadri rami,,6,"['dolce', 'ombra', 'belle', 'frondi', 'l’arbor', 'sacro', 'oue', 'acceso', 'lume', '(seconda', 'parte', 'uide', 'alcun', 'mai', 'leggiadri', 'rami']",,"['sweet', 'ombra', 'beautiful', 'frondi', ""l'arbor"", 'sacred', 'oue', 'acceso', 'lume', '(second', 'part', 'ude', 'alcun', 'mai', 'leggiadri', 'rami']"
4706,terza parte: Se ben discorro sotto l’alto cielo,,6,"['terza', 'parte', 'ben', 'discorro', 'sotto', 'l’alto', 'cielo']",,"['third', 'part', 'speak', 'well', 'high', 'sky']"
4707,quarta parte: Pero piu fermo ogn’hor di te[m]po in tempo,,6,"['quarta', 'parte', 'pero', 'piu', 'fermo', 'ogn’hor', 'te[m]po', 'tempo']",,"['fourth', 'part', 'stopped', 'every', 'hour', 'te[m]po', 'tempo']"
4708,quinta parte: Selue sassi campigne fiumi & poggi,,6,"['quinta', 'parte', 'selue', 'sassi', 'campigne', 'fiumi', '&', 'poggi']",,"['fifth', 'part', 'selue', 'sassi', 'campigne', 'rivers', '&', 'hillocks']"
4709,sesta parte: Dvnque seguendo il raggio del bel lume,,6,"['sesta', 'parte', 'dvnque', 'seguendo', 'raggio', 'bel', 'lume']",,"['sixth', 'part', 'everywhere', 'following', 'ray', 'beautiful', 'light']"
4710,settima parte: Le frondi di tua Croce),Hippolito Sabino,6,"['settima', 'parte', 'frondi', 'croce)']",,"['seventh', 'part', 'leaves', 'cross)']"
4711,I Begli occhi ch’al sol inuidia fanno (seconda parte: Cosi fortuna un tempo acerba e ria),Oratio Crisci,6,"['begli', 'occhi', 'ch’al', 'sol', 'inuidia', '(seconda', 'parte', 'cosi', 'fortuna', 'tempo', 'acerba', 'ria)']",,"['beautiful', 'eyes', 'make', 'sol', 'inuidia']"
4712,Io son ferito ahi lasso e chi mi diede (risposta: S’Io t’ho ferito non t’ho pero morto),Hippolito Sabino,6,"['ferito', 'ahi', 'lasso', 'diede', '(risposta', 's’io', 't’ho', 'ferito', 't’ho', 'pero', 'morto)']",,"['wounded', 'alas', 'gave', '(answer', 'wounded', 'kill', 'though)']"
4713,Morto che’l uago giouanetto Adone Venere uide dal crudel Cignale (seconda parte: La bocca bacia e questa gote e quella),Hippolito Sabino,6,"['morto', 'che’l', 'uago', 'giouanetto', 'adone', 'venere', 'uide', 'crudel', 'cignale', '(seconda', 'parte', 'bocca', 'bacia', 'gote', 'quella)']",,"['dead', 'young', 'young', 'adonis', 'heard', 'venus', 'cruel', 'cignale', '(second', 'part', 'mouth', 'kisses', 'cheek)']"
4714,Se quei begli occhi onde mille alme accendi (seconda parte: Dvo Cerui e duo capretti la neue e uinta),Oratio Crisci,6,"['quei', 'begli', 'occhi', 'onde', 'mille', 'alme', 'accendi', '(seconda', 'parte', 'dvo', 'cerui', 'duo', 'capretti', 'neue', 'uinta)']",,"['beautiful', 'eyes', 'thousand', 'souls', 'light', '(second', 'part', 'dvo', 'cerui', 'two', 'kids', 'neue', 'uinta)']"
4715,Ivo piangendo i miei passati tempi (seconda parte: Si che s’io uissi in guerra & in tempesta),Hippolito Sabino,6,"['ivo', 'piangendo', 'passati', 'tempi', '(seconda', 'parte', 's’io', 'uissi', 'guerra', '&', 'tempesta)']",,"['ivo', 'crying', 'past', 'times']"
4716,Donna gia del tuo amor son fatto insano Ma sempre tacqui il mio doglioso affetto,Hippolito Sabino,6,"['donna', 'gia', 'amor', 'fatto', 'insano', 'sempre', 'tacqui', 'doglioso', 'affetto']",,"['woman', 'already', 'love', 'made', 'insane', 'always', 'kept', 'silent', 'sorrowful', 'affection']"
4717,Fresco ombroso fiorito e uerde colle (seconda parte: Seco si stringe e dice a ciascun passo),Hippolito Sabino,6,"['fresco', 'ombroso', 'fiorito', 'uerde', 'colle', '(seconda', 'parte', 'seco', 'stringe', 'dice', 'ciascun', 'passo)']",,"['fresco', 'shady', 'fiorito', 'uerde', 'colle', '(second', 'part', 'seco', 'tightens', 'says', 'step)']"
4718,Amor fra l’herbe una leggiadra rete D’oro e di perle tese fort’un ramo (seconda parte: E’L chiaro lume che sparir fa’l sole),Hippolito Sabino,6,"['amor', 'fra', 'l’herbe', 'leggiadra', 'rete', 'd’oro', 'perle', 'tese', 'fort’un', 'ramo', '(seconda', 'parte', 'e’l', 'chiaro', 'lume', 'sparir', 'fa’l', 'sole)']",,"['amor', 'fra', ""l'herbe"", 'graceful', 'net', 'gold', 'pearls', 'stretched', 'across', 'branch']"
4719,Seconda parte: Formo le rose,Hippolito Sabino,6,"['seconda', 'parte', 'formo', 'rose']",,"['second', 'part', 'form', 'roses']"
4720,Tv piangeui il tuo amor io piango il mio (seconda parte: E Nel pensar io dico a che ti sfaci),Oratio Crisci,6,"['tv', 'piangeui', 'amor', 'piango', '(seconda', 'parte', 'pensar', 'dico', 'sfaci)']",,"['tv', 'cried', 'love', 'cry', 'mine']"
4721,Lasso ch’ogni augelletto segue hor cantando l’amorosa schiera,Gio. Maria Nanino,5,"['lasso', 'ch’ogni', 'augelletto', 'segue', 'hor', 'cantando', 'l’amorosa', 'schiera']",,"['lasso', ""ch'ogni"", 'little', 'bird', 'follows', 'hor', 'singing', 'amorous', 'band']"
4722,Chiari cristalli da begli occhi santi co’capei d’oro sciolti ond’Amor suole (seconda parte: Il Ciel fermossi ad a scoltar gli accenti),Annibal Stabile,5,"['chiari', 'cristalli', 'begli', 'occhi', 'santi', 'co’capei', 'd’oro', 'sciolti', 'ond’amor', 'suole', '(seconda', 'parte', 'ciel', 'fermossi', 'scoltar', 'accenti)']",,"['clear', 'crystals', 'beautiful', 'holy', 'eyes', 'golden', 'capei', 'loose', 'amor', 'soles', '(second', 'part', 'ciel', 'fermessi', 'scoltar', 'accenti)']"
4723,Dolce fiammella mia s’hai tanto ardire,Gio. Maria Nanino,5,"['dolce', 'fiammella', 's’hai', 'tanto', 'ardire']",,"['sweet', 'little', 'flame', 'bold']"
4724,Qvesta si bianca neue c’hor io dolce suggendo,Gio. Maria Nanino,5,"['qvesta', 'bianca', 'neue', 'c’hor', 'dolce', 'suggendo']",,"['white', 'neue', ""c'hor"", 'dolce', 'suggendo']"
4725,Vaneggio od’e uero ch’io mi senta nel core,Annibal Stabile,5,"['vaneggio', 'od’e', 'uero', 'ch’io', 'senta', 'core']",,"['vaneggio', ""od'e"", 'uero', ""ch'io"", 'senta', 'core']"
4726,Giocond’e crudo fato ch’en si oscura prigion,Gio. Maria Nanino,5,"['giocond’e', 'crudo', 'fato', 'ch’en', 'oscura', 'prigion']",,"[""giocond'e"", 'crude', 'fate', ""ch'en"", 'obscura', 'prison']"
4727,Amor deh dimmi come sta nel cor di costei l’orgoglio e’l gelo,Gio. Maria Nanino,5,"['amor', 'deh', 'dimmi', 'cor', 'costei', 'l’orgoglio', 'e’l', 'gelo']",,"['love', 'tell', 'pride', 'frost', 'heart']"
4728,D’Amor le ricche gemme Onde quasi gra[n] Regg’ei s’incorona,Annibal Stabile,5,"['d’amor', 'ricche', 'gemme', 'onde', 'quasi', 'gra[n]', 'regg’ei', 's’incorona']",,"[""d'amor"", 'rich', 'gems', 'waves', 'almost', 'gra[n]', ""regg'ei"", 'crowned']"
4729,Godeano in Ciel fra la piu chiare stele Di Leda i figli (seconda parte: Non ti doler ch’il bel del paradiso),Gio. Maria Nanino,5,"['godeano', 'ciel', 'fra', 'piu', 'chiare', 'stele', 'leda', 'figli', '(seconda', 'parte', 'doler', 'ch’il', 'bel', 'paradiso)']",,"['children', 'leda', 'enjoyed', 'heaven', 'among', 'clearest', 'stele', '(second', 'part', 'doler', ""ch'il"", 'bel', 'paradiso)']"
4730,Qvand’io son tutto uolto in quella parte Oue’l bel uiso di Madonna luce (seconda parte: Cosi dauanti a i colpi della morte),Annibal Stabile,5,"['qvand’io', 'uolto', 'parte', 'oue’l', 'bel', 'uiso', 'madonna', 'luce', '(seconda', 'parte', 'cosi', 'dauanti', 'colpi', 'morte)']",,"['turned', 'part', ""e'l"", 'bel', 'uiso', 'madonna', 'luce', '(second', 'part', 'dauanti', 'coup', 'morte)']"
4731,Dolorosi martir fieri tormenti Duri ceppi empi lacci aspre catene,Gio. Maria Nanino,5,"['dolorosi', 'martir', 'fieri', 'tormenti', 'duri', 'ceppi', 'empi', 'lacci', 'aspre', 'catene']",,"['painful', 'martyrs', 'proud', 'torments', 'hard', 'strains', 'impious', 'laces', 'harsh', 'chains']"
4732,Lasso fia mai che dopo tante pene L’anima stanca riposar si possa,Annibal Stabile,5,"['lasso', 'fia', 'mai', 'dopo', 'tante', 'pene', 'l’anima', 'stanca', 'riposar', 'possa']",,"['let', 'never', 'many', 'pains', 'tired', 'soul', 'rest']"
4733,Vienn’Himeneo deh uieni Per che questa del ciel pura,Gio. Maria Nanino,5,"['vienn’himeneo', 'deh', 'uieni', 'ciel', 'pura']",,"[""vienn'himeneo"", 'deh', 'uieni', 'heaven', 'pure']"
4734,Volete pur ch’io mora o dolce mia nemica Prima ch’a uoi presente il mio mal dica,Annibal Stabile,5,"['volete', 'pur', 'ch’io', 'mora', 'dolce', 'nemica', 'prima', 'ch’a', 'uoi', 'presente', 'mal', 'dica']",,"['want', 'sweet', 'enemy', 'present', 'pain']"
4735,Non m’e la morte strana se morte dir si puo la morte mia,Annibal Stabile,5,"['m’e', 'morte', 'strana', 'morte', 'puo', 'morte']",,"['death', 'strange', 'one', 'say', 'death', 'death']"
4736,Aventuroso piu d’ogni altro colle Colle Augusto felice,Gio. Maria Nanino,5,"['aventuroso', 'piu', 'd’ogni', 'altro', 'colle', 'colle', 'augusto', 'felice']",,"['adventurous', 'hill', 'happy', 'augustus', 'hill']"
4737,SELVA che di contenti Piaceri e gioia risonar GIA monti e piaggie,Gio. Maria Nanino,5,"['selva', 'contenti', 'piaceri', 'gioia', 'risonar', 'gia', 'monti', 'piaggie']",,"['selva', 'already', 'mountains', 'beaches', 'resound', 'happy', 'pleasures', 'joy']"
4738,Mentre l’aura spirò nel verde,Luca Marrentio,5,"['mentre', 'l’aura', 'spirò', 'verde']",,"['breathed', 'green']"
4739,O de l’anima,Hippolito Fiornino,5,['l’anima'],,['animate']
4740,"Io pensai dolce, e grato",Costanzo Porta,5,"['pensai', 'dolce', 'grato']",,"['thought', 'sweet', 'grateful']"
4741,Moui il tuo plettro Apollo,Lelio Bertani,5,"['moui', 'plettro', 'apollo']",,"['moui', 'apollo', 'pick']"
4742,Hor fuggi infidel’ombra,Giaches d’VVert,5,"['hor', 'fuggi', 'infidel’ombra']",,"['hor', 'treacherous', 'flee', 'shadow']"
4743,Me pur stato dal core,Giulio Eremita,5,"['pur', 'stato', 'core']",,"['pur', 'core']"
4744,Se’lauro e sempre verde,Luzzasco Luzzaschi,5,"['se’lauro', 'sempre', 'verde']",,"[""se'lauro"", 'always', 'green']"
4745,In primauera eterna,Andrea Gabrieli,5,"['primauera', 'eterna']",,"['primauera', 'eterna']"
4746,"Tra mille, e più arbor scelli",Alessandro Milleuille,5,"['mille', 'arbor', 'scelli']",,"['among', 'thousand', 'arbor', 'chooses']"
4747,Nel foco d’un bel laure,Ruggiero Giouannelli,5,"['foco', 'd’un', 'bel', 'laure']",,"['heart', 'beautiful', 'laurel']"
4748,A piè d’un lauro,Paolo Isnardi,5,"['piè', 'd’un', 'lauro']",,"['foot', 'laurel']"
4749,"La fiamma, c’hai nel petto",Tiburtio Massaini,5,"['fiamma', 'c’hai', 'petto']",,"['flame', 'chest']"
4750,Mentre il lauro gentil,Claudio da Correggio,5,"['mentre', 'lauro', 'gentil']",,"['gentle', 'laurel']"
4751,Con l’aura de sospir,Alessandro Striggio,5,"['l’aura', 'sospir']",,['sighing']
4752,In vano ascondi il vero,Annibal Zoilo,5,"['vano', 'ascondi', 'vero']",,"['vain', 'hide', 'truth']"
4753,Dal mio bel lauro Amore,Innocentio Alberti,5,"['bel', 'lauro', 'amore']",,"['beautiful', 'laurel', 'love']"
4754,Arsi mentre à voi piacque,Paolo Virchi,5,"['arsi', 'mentre', 'piacque']",,"['burn', 'like']"
4755,"Chi ama, viue in core",Francesco Manara,5,"['ama', 'viue', 'core']",,"['loves', 'lives', 'korea']"
4756,"Però, se coronato, e trionfante",Alberto da l’Occa,5,"['però', 'coronato', 'trionfante']",,"['however', 'crowned', 'triumphant']"
4757,Sei tu quel lauro,Nicolo Peruue,5,"['quel', 'lauro']",,['laurel']
4758,Come hor la terra a noue herbette,Vincenzo Fronti,5,"['hor', 'terra', 'noue', 'herbette']",,"['hor', 'terra', 'noue', 'herbette']"
4759,T’amai frondosa Pianta,Bartolomeo Spontone,5,"['t’amai', 'frondosa', 'pianta']",,"['loved', 'leafy', 'plant']"
4760,Secco è l’arbor gentile,Gio. Battista Mosto,5,"['secco', 'l’arbor', 'gentile']",,"['dry', 'kind', 'arbor']"
4761,"Amor, con l’arbor mio secca",Girolamo Belli,5,"['amor', 'l’arbor', 'secca']",,"['love', 'dry', 'tree']"
4762,Fummo felici un tempo,Horatio Vecchi,5,"['felici', 'tempo']",,['happy']
4763,Gia non mi marauiglio,Marc Antonio Ingegnieri,5,"['gia', 'marauiglio']",,"['yeah', ""i'm"", 'surprised']"
4764,Fu’l lauro sempre verde,Annibal Stabile,5,"['fu’l', 'lauro', 'sempre', 'verde']",,"['laurel', 'always', 'green']"
4765,Giusto disdegno Amore,Del S. Francesco Pigna,5,"['giusto', 'disdegno', 'amore']",,"['disdain', 'love']"
4766,"Lauro, ohime, lauro ingrato",Dell Illustre S. Giouanni Bardi,5,"['lauro', 'ohime', 'lauro', 'ingrato']",,"['lauro', 'ohime', 'ungrateful', 'laurel']"
4767,Goditi pur nouo Terren quel lauro,Giouanni di Macque,5,"['goditi', 'pur', 'nouo', 'terren', 'quel', 'lauro']",,"['enjoy', 'even', 'new', 'terren', 'laurel']"
4768,"Qvel lauro, che fù in me già così verde",Luca Marentio,5,"['qvel', 'lauro', 'fù', 'già', 'così', 'verde']",,"['laurel', 'already', 'green']"
4769,Hor ch’allegra e ridente La bella Dea di Gnido Tempra l’ardor de suoi caldi sospiri,Costanzo porta,,"['hor', 'ch’allegra', 'ridente', 'bella', 'dea', 'gnido', 'tempra', 'l’ardor', 'caldi', 'sospiri']",,"['hor', ""ch'allegra"", 'ridente', 'beautiful', 'goddess', 'gnido', 'tempers', 'ardor', 'warm', 'sighs']"
4770,Che puoi tu farmi Amore s’in me non e piu’l core,Rugiero Giouanelli,,"['puoi', 'farmi', 'amore', 's’in', 'piu’l', 'core']",,"['make', 'love', 'heart', 'longer']"
4771,A Dio Titiro mio Piouan gratie e fauori al tuo desio,Bartolomeo Piffari,,"['dio', 'titiro', 'piouan', 'gratie', 'fauori', 'desio']",,"['god', 'titirus', 'piouan', 'thanks', 'favors', 'desire']"
4772,Vorrei lasso Esser la terra ond’io Basciassi il piede al bel idolo mio,Claudio da Correggio,,"['vorrei', 'lasso', 'esser', 'terra', 'ond’io', 'basciassi', 'piede', 'bel', 'idolo']",,"['would', 'like', 'earth', 'would', 'kiss', 'foot', 'beautiful', 'idol']"
4773,Ahi se si grida al foco Turba infinita arriua,Oratio Vecchi,,"['ahi', 'grida', 'foco', 'turba', 'infinita', 'arriua']",,"['ouch', 'shout', 'fire', 'turba', 'infinite', 'arriua']"
4774,Mirami uita mia mirami un poco Co’diuin occhi tuoi,Claudio da Correggio,,"['mirami', 'uita', 'mirami', 'poco', 'co’diuin', 'occhi']",,"['mirami', 'uita', 'mirami', 'little', ""co'diuin"", 'eyes']"
4775,Lasso non e morir l’uscir di uita Ma l’amare e’l languire,Francesco Soriano,,"['lasso', 'morir', 'l’uscir', 'uita', 'l’amare', 'e’l', 'languire']",,"['lasso', 'dying', 'get', 'love', 'languish']"
4776,Amorose uiole ch’hauete il nome della Donna mia (seconda parte: Qvanto lieto ui miro Membrando la cagion del mio martiro),Giaches Vuert,,"['amorose', 'uiole', 'ch’hauete', 'nome', 'donna', '(seconda', 'parte', 'qvanto', 'lieto', 'ui', 'miro', 'membrando', 'cagion', 'martiro)']",,"['amorous', 'birds', 'name', 'lady', '(second', 'part', 'qvanto', 'lieto', 'ui', 'miro', 'membering', 'cause', 'martyrdom)']"
4777,Con pieta ui rimiro Pallidette uiole Pur dianzi ruggiandose,Alessandro Striggio,,"['pieta', 'ui', 'rimiro', 'pallidette', 'uiole', 'pur', 'dianzi', 'ruggiandose']",,"['pity', 'look', 'back', 'pale', 'yellow', 'pur', 'front', 'roaring']"
4778,Amor se pur sei Dio Dei esser giusto parimente,Marc’Antonio Ingegnieri,,"['amor', 'pur', 'dio', 'esser', 'giusto', 'parimente']",,"['love', 'god', 'must', 'likewise']"
4779,Perche adoprar catene se preso il cor uostra belta mi tiene,Luca Marenzio,,"['perche', 'adoprar', 'catene', 'preso', 'cor', 'uostra', 'belta', 'tiene']",,"['use', 'chains', 'heart', 'taken', 'belt', 'holds']"
4780,S’vna fiamm’un desio Incende e moue lo tuo core e’l mio,Giulio Heremita,,"['s’vna', 'fiamm’un', 'desio', 'incende', 'moue', 'core', 'e’l']",,"['flame', 'desire', 'burns', 'burns', 'heart', 'mine']"
4781,Bastaua il chiaro uiso E la candida mano Per far ch’amor mai non tirasse in uano,Gio. Maria Nanino,,"['bastaua', 'chiaro', 'uiso', 'candida', 'mano', 'far', 'ch’amor', 'mai', 'tirasse', 'uano']",,"['clear', 'sight', 'enough', 'candid', 'hand', 'make', 'love', 'never', 'pull', 'one']"
4782,Erasi al sole il mio bel sole assiso che pari altri non troua,Costanzo Porta,,"['erasi', 'sole', 'bel', 'sole', 'assiso', 'pari', 'altri', 'troua']",,"['beautiful', 'sun', 'seated', 'sun', 'cannot', 'found', 'like', 'others']"
4783,In dar Natura a uoi spoglia si cara Vinse in belta non ch’altri anco se stessa (seconda parte: Onde gran tempo gia mi stringe Amore),Andrea Gabrielli,,"['dar', 'natura', 'uoi', 'spoglia', 'cara', 'vinse', 'belta', 'ch’altri', 'anco', 'stessa', '(seconda', 'parte', 'onde', 'gran', 'tempo', 'gia', 'stringe', 'amore)']",,"['giving', 'nature', 'undresses', 'dear', 'beauty', 'well', 'others', '(second', 'part', 'waves', 'already', 'hold', 'long', 'time', 'love)']"
4784,Ben fu l’ape ingegnosa Che ui puns’il bel uiso,Pietro Vinci,,"['ben', 'l’ape', 'ingegnosa', 'ui', 'puns’il', 'bel', 'uiso']",,"['well', 'ingenious', 'bee', 'stung', 'beautiful', 'sight']"
4785,Pvr mi concesse al fine Ch’io ua gheggiassi un giorno,Anibal Stabile,,"['pvr', 'concesse', 'fine', 'ch’io', 'ua', 'gheggiassi', 'giorno']",,"['pvr', 'granted', 'end', 'would', 'gheggiassi', 'one', 'day']"
4786,Febre ond’hor per le uene il ghiaccio corre Hor bolle intorno al core,Gianetto da Palestrina,,"['febre', 'ond’hor', 'uene', 'ghiaccio', 'corre', 'hor', 'bolle', 'intorno', 'core']",,"['febre', ""ond'hor"", 'ice', 'runs', 'veins', 'hor', 'bubbles', 'around', 'core']"
4787,Deh non chinar a terra Alza I begli occhi homai,Gioan’Agostino Veggi,,"['deh', 'chinar', 'terra', 'alza', 'begli', 'occhi', 'homai']",,"['deh', 'stoop', 'ground', 'raise', 'beautiful', 'eyes', 'homai']"
4788,Fra l’altre virtu con si gra[n]d ‘ardore,A. Peuernage,4; 5; 6; 7,"['fra', 'l’altre', 'virtu', 'gra[n]d', '‘ardore']",Musica divina (Phalèse),"['among', 'virtues', 'gra[n]d', 'ardor']"
4789,Poi ch’el mio largo pianto,Orlando di Lasso,4; 5; 6; 7,"['poi', 'ch’el', 'largo', 'pianto']",Musica divina (Phalèse),"['wide', 'weeping']"
4790,Io mi son giouinetta et volontieri,Ferabosco,4; 5; 6; 7,"['giouinetta', 'volontieri']",Musica divina (Phalèse),"['youngster', 'willingly']"
4791,Amor che deggio far che mi consigli,D’incerto,4; 5; 6; 7,"['amor', 'deggio', 'far', 'consigli']",Musica divina (Phalèse),"['love', 'must', 'let', 'advise']"
4792,Gionto m’hamor fra bell’e crude braccia,D’incerto,4; 5; 6; 7,"['gionto', 'm’hamor', 'fra', 'bell’e', 'crude', 'braccia']",Musica divina (Phalèse),"['gionto', ""m'hamor"", 'beautiful', 'crude', 'arms']"
4793,Gia fu chi m’hebbe cara,D’incerto,4; 5; 6; 7,"['gia', 'm’hebbe', 'cara']",Musica divina (Phalèse),"['gia', ""m'hebbe"", 'cara']"
4794,Dolce contrade o chiusi e chete valli,D’incerto [Spirito da Reggio (Gaspero Pratoneri),4; 5; 6; 7,"['dolce', 'contrade', 'chiusi', 'chete', 'valli']",Musica divina (Phalèse),"['sweet', 'districts', 'closed', 'quiet', 'valleys']"
4795,Con lei fuss’io da che si part’il sole,Giaches de Ponte,4; 5; 6; 7,"['fuss’io', 'part’il', 'sole']",Musica divina (Phalèse),"['since', 'sun', 'departed']"
4796,Qval piu crudel martire,D’incerto,4; 5; 6; 7,"['qval', 'piu', 'crudel', 'martire']",Musica divina (Phalèse),"['cruel', 'martyr']"
4797,Alma ben nata se mi duol,Filippo de Monte,4; 5; 6; 7,"['alma', 'ben', 'nata', 'duol']",Musica divina (Phalèse),"['well', 'born', 'alma', 'pains']"
4798,Amor quando m’inuia,D’incerto,4; 5; 6; 7,"['amor', 'quando', 'm’inuia']",Musica divina (Phalèse),"['love', ""m'inuia""]"
4799,Anchor che col partire,Cypriano de Rore,4; 5; 6; 7,"['anchor', 'partire']",Musica divina (Phalèse),"['anchor', 'leaving']"
4800,Qvando da gl’occhi del diuin mio sole,Filippo de Monte,4; 5; 6; 7,"['qvando', 'gl’occhi', 'diuin', 'sole']",Musica divina (Phalèse),"['give', ""gl'occhi"", 'diuin', 'sole']"
4801,Da bei rami scendea dolce nella memoria,Filippo de Monte,4; 5; 6; 7,"['rami', 'scendea', 'dolce', 'memoria']",Musica divina (Phalèse),"['beautiful', 'branches', 'descended', 'sweetly', 'memory']"
4802,Non al suo amante piu Diana piacque,Gio. De Macque,4; 5; 6; 7,"['amante', 'piu', 'diana', 'piacque']",Musica divina (Phalèse),"['lover', 'liked', 'diana', 'anymore']"
4803,Amor e’l ver fu meco,Giouanni de Macque,4; 5; 6; 7,"['amor', 'e’l', 'ver', 'meco']",Musica divina (Phalèse),"['amor', ""e'l"", 'ver', 'meco']"
4804,Chi per voi non sospira,Noë Faignient,4; 5; 6; 7,['sospira'],Musica divina (Phalèse),['sigh']
4805,Ditemi o Diua mia,Gironimo Vespa,4; 5; 6; 7,"['ditemi', 'diua']",Musica divina (Phalèse),"['tell', 'god']"
4806,Morir non puo’el core,Gio. Maria Nanino,4; 5; 6; 7,"['morir', 'puo’el', 'core']",Musica divina (Phalèse),"['dying', 'cannot', 'done', 'core']"
4807,Scoprirò l’ardor mio con dir ch’io moro (seconda parte: Se voi set’il mio sol),,4; 5; 6; 7,"['scoprirò', 'l’ardor', 'ch’io', 'moro', '(seconda', 'parte', 'set’il', 'sol)']",Musica divina (Phalèse),"['discover', 'ardor', ""ch'io"", 'moro', '(second', 'part', ""set'il"", 'sol)']"
4808,Gio. Maria Nanino ,,4; 5; 6; 7,"['gio', 'maria', 'nanino']",Musica divina (Phalèse),"['gio', 'maria', 'nanino']"
